Tarih;Sensor Adi;Sensor No;X Koordinati;Y Koordinati;ARAC TOPLAM
01.01.2022;Okmeydanı DMS;535;28.949946;41.051648;144174
01.01.2022;Aşiyan Parkı;536;29.053195;41.080620;21924
01.01.2022;Kemerburgaz Yolu 5;545;28.895310;41.158650;55025
01.01.2022;Riva Yolu 2;547;29.109020;41.107772;40713
01.01.2022;Kemerdere Kavşağı;551;29.180752;41.020089;95870
01.01.2022;Çekmeköy;552;29.154286;41.036889;87640
01.01.2022;Kozyatağı Metro;553;29.094085;40.982495;67462
01.01.2022;Kartal Fenerbahçe Tesisleri;557;29.216866;40.947152;45442
01.01.2022;D100 Kartal Kavşağı;558;29.211720;40.905516;93178
01.01.2022;TEM Hasdal Kavşağı;559;28.957379;41.099368;146476
01.01.2022;D100 Küçükçekmece Gölü 1;561;28.758393;40.982394;149593
01.01.2022;D100 Çobançeşme Havaalanı;563;28.812914;40.997276;121926
01.01.2022;İstoç;730;28.8148;41.0679;31279
01.01.2022;Başakşehir;731;28.8133;41.0832;29836
01.01.2022;Başakşehir 4. Etap 2. Kısım;732;28.8136;41.0951;32189
01.01.2022;Başakşehir 4. Etap 1. Kısım;733;28.8154;41.1092;19811
01.01.2022;Fatih Terim Stadyumu;734;28.8124;41.1232;19093
01.01.2022;Fenertepe Kavşağı;735;28.805352;41.139152;14578
01.01.2022;Boğazköy;737;28.8132;41.1777;15833
01.01.2022;Odayeri;744;28.8505;41.2303;6020
01.01.2022;Odayeri;750;28.867201;41.231398;12082
01.01.2022;Kırkmerdiven Göleti;751;28.8909;41.2358;11426
01.01.2022;Çiftalan;752;28.918400;41.234400;13033
01.01.2022;Gümüşdere;755;28.9831;41.2262;11809
01.01.2022;Uskumruköy Kavşağı;757;29.0241;41.2263;10022
01.01.2022;YSS Avrupa;761;29.0922;41.2123;5426
01.01.2022;Yavuz Sultan Selim Köprüsü Anadolu;764;29.123974;41.197849;10172
01.01.2022;Poyrazköy;765;29.140881;41.197570;10183
01.01.2022;Anadolu Feneri;766;29.164621;41.197308;10408
01.01.2022;Anadolu Feneri Üst Geçit;767;29.1776;41.1964;10679
01.01.2022;Riva Kavşağı;768;29.1946;41.1906;7873
01.01.2022;"Sırapınar ";777;29.290172;41.099268;13254
01.01.2022;Avcılar Pelikan;789;28.714688;40.989787;108235
01.01.2022;Göktürk Kavşağı;816;28.878916;41.176403;31815
01.01.2022;Göktürk Gölet;817;28.867974;41.195935;33309
01.01.2022;İstaç Katı Atık Tesisi;818;28.856191;41.203025;35967
01.01.2022;İhsaniye Kavşağı;819;28.817870;41.233395;32404
01.01.2022;Viyadük 1;820;28.773645;41.245286;5798
01.01.2022;Galata Köprüsü 2;826;28.973862;41.020572;8207
01.01.2022;Halıcıoğlu D100 Katılımı;827;28.945551;41.046979;3110
01.01.2022;Haliç Sütlüce D-100 Katılım;828;28.947187;41.049057;15310
01.01.2022;Halıcıoğlu Metrobüs;830;28.945648;41.047105;96696
01.02.2022;TEM Karanfilköy;2;29.028617;41.092425;94049
01.02.2022;TEM Çakmak;4;29.122002;41.007104;195809
01.02.2022;TEM Küçükbakkalköy;5;29.106018;40.985743;147065
01.02.2022;Optimum AVM;6;29.084167;40.988017;127980
01.02.2022;D100 Göztepe;8;29.079106;40.990121;128589
01.02.2022;Çamlıca TEM-D100 Bağl. Yolu;10;29.072406;41.005797;85341
01.02.2022;TEM Arıcılar;20;28.981994;41.100210;208216
01.02.2022;TEM İstoç;22;28.821302;41.063408;185095
01.02.2022;D100 Florya;24;28.792770;40.989967;129355
01.02.2022;D100 Küçükçekmece;33;28.767118;40.986035;131910
01.02.2022;Güneşli B. Ekspres Yolu;38;28.807770;41.048592;107992
01.02.2022;D100 Ambarlı;41;28.690915;40.999795;96463
01.02.2022;Atışalanı;45;28.8551;41.0551;150819
01.02.2022;Bayrampaşa;46;28.892054;41.044859;159992
01.02.2022;Haliç Köprü Girişi-Halıcıoğlu;51;28.944950;41.048174;88095
01.02.2022;Bayrampaşa;54;28.908399;41.040315;198519
01.02.2022;TEM D100 Okmeydanı Bağl. Yolu;56;28.957666;41.060659;91933
01.02.2022;TEM Gazi Mah.;58;28.8930;41.0907;191776
